Date,F&G,Category,Trend,"Recommended $","SPY Price","Shares Bought","Cash Before","Cash After"
"2026-03-14 05:02 1773464541UTCC",19,"Extreme Fear","Bull 🟢",400,662.29,0.1510,0.00,0.00
"2026-03-14 05:10 1773465050UTCC",19,"Extreme Fear","Bull 🟢",400,662.29,0.1510,0.00,0.00
"2026-03-14 05:13 1773465186UTCC",19,"Extreme Fear","Bull 🟢",400,662.29,0.1510,0.00,0.00
"2026-03-14 05:18 UTC",19,"Extreme Fear","Bull 🟢",400,662.29,0.1510,0.00,0.00
"2026-03-14 05:25 UTC",19,"Extreme Fear","Bull 🟢",400,662.29,0.1510,0.00,0.00
"2026-03-20 22:08 UTC",14,"Extreme Fear","Bear 🔴",350,648.57,0.1542,0.00,0.00
"2026-04-01 14:44 UTC",16,"Extreme Fear","Bear 🔴",350,655.59,0.1525,0.00,0.00
"2026-05-01 14:19 UTC",67,Greed,"Bull 🟢",100,724.49,0.1380,0.00,0.00
"2026-06-01 18:44 UTC",59,Greed,"Bull 🟢",100,759.83,0.1316,0.00,0.00
"2026-07-01 15:47 UTC",34,Fear,"Bull 🟢",250,748.74,0.1336,0.00,0.00
"2026-08-01 14:38 UTC",42,Fear,"Bull 🟢",250,747.03,0.1339,0.00,0.00
"2026-09-01 17:17 UTC",45,Neutral,"Bull 🟢",150,761.66,0.1313,0.00,0.00
